Date,Ticker,Strategy
2026-06-30,ANGELONE.NS,SCALP
2026-06-30,CHALET.NS,SWING
2026-06-30,TAJGVK.NS,SCALP
2026-06-30,HAL.NS,MOMENTUM
2026-06-30,HINDALCO.NS,SWING
2026-06-30,OFSS.NS,SWING
2026-06-30,HUDCO.NS,SWING
2026-06-30,HINDUNILVR.NS,SWING
2026-06-30,SUPRAJIT.NS,SWING
2026-06-30,JSWSTEEL.NS,MOMENTUM
2026-06-30,AXISBANK.NS,SCALP
2026-06-30,KOTAKBANK.NS,SCALP
2026-06-30,MARICO.NS,SCALP
2026-06-30,CEATLTD.NS,SCALP
2026-06-30,HDFCBANK.NS,SCALP
2026-06-30,ESCORTS.NS,SWING
2026-06-30,RELIANCE.NS,SCALP
2026-06-30,PERSISTENT.NS,SWING
2026-06-30,COCHINSHIP.NS,SWING
2026-06-30,IDFCFIRSTB.NS,SWING
2026-06-30,TATAPOWER.NS,MOMENTUM
2026-06-30,IGL.NS,SWING
2026-06-30,MOTILALOFS.NS,SCALP
2026-06-30,BLUEDART.NS,SCALP
2026-06-30,CIPLA.NS,SWING
2026-06-30,ABB.NS,SWING
2026-06-30,CANBK.NS,SWING
2026-06-30,MUTHOOTFIN.NS,SWING
2026-06-30,BEL.NS,MOMENTUM
2026-06-30,MRF.NS,SWING
2026-06-30,GLAND.NS,SWING
2026-06-30,BEL.NS,SCALP
2026-06-30,SBIN.NS,MOMENTUM
2026-06-30,INFY.NS,SCALP
2026-06-30,APLAPOLLO.NS,SCALP
2026-06-30,FEDERALBNK.NS,SCALP
2026-06-30,FEDERALBNK.NS,SCALP
2026-06-30,IDFCFIRSTB.NS,SCALP
2026-06-30,MGL.NS,SCALP
2026-06-30,SBILIFE.NS,SCALP
2026-06-30,INOXWIND.NS,MOMENTUM
2026-06-30,HAVELLS.NS,SCALP
2026-06-30,ICICIGI.NS,SWING
2026-06-30,BPCL.NS,SWING
2026-06-30,GODREJCP.NS,SWING
2026-06-30,BIOCON.NS,SWING
2026-06-30,TATAELXSI.NS,SWING
2026-06-30,SONACOMS.NS,SWING
2026-06-30,SYNGENE.NS,SWING
2026-06-30,NAUKRI.NS,SCALP
2026-06-30,TIINDIA.NS,SCALP
2026-06-30,NAZARA.NS,SCALP
2026-06-30,ULTRACEMCO.NS,SCALP
2026-06-30,CRAFTSMAN.NS,SCALP
2026-06-30,TITAN.NS,SCALP
2026-06-30,DABUR.NS,MOMENTUM
2026-06-30,ONGC.NS,SWING
2026-06-30,EQUITASBNK.NS,SWING
2026-06-30,AAVAS.NS,SWING
2026-06-30,GRANULES.NS,SCALP
2026-06-30,HAL.NS,SCALP
2026-06-30,HDFCLIFE.NS,MOMENTUM
2026-06-30,HEROMOTOCO.NS,SCALP
2026-06-30,JUBLFOOD.NS,SCALP
2026-06-30,COALINDIA.NS,SWING
2026-06-30,CONCOR.NS,SCALP
2026-06-30,5PAISA.NS,SWING
2026-06-30,AUBANK.NS,SCALP
2026-06-30,SURYODAY.NS,SCALP
2026-06-30,INDUSTOWER.NS,SCALP
2026-06-30,TRENT.NS,MOMENTUM
2026-06-30,BAJFINANCE.NS,SWING
2026-06-30,TORNTPHARM.NS,MOMENTUM
2026-06-30,HAVELLS.NS,MOMENTUM
2026-06-30,BOSCHLTD.NS,SWING
2026-06-30,BAJAJFINSV.NS,SWING
2026-06-30,INDIANB.NS,MOMENTUM
2026-06-30,WIPRO.NS,SWING
2026-06-30,GRASIM.NS,SCALP
2026-06-30,METROPOLIS.NS,SCALP
2026-06-30,IIFL.NS,SCALP
2026-06-30,TIINDIA.NS,SWING
2026-06-30,RBLBANK.NS,SCALP
2026-06-30,GEOJITFSL.NS,MOMENTUM
2026-06-30,ONGC.NS,SCALP
2026-06-30,POWERGRID.NS,SWING
2026-06-30,KRSNAA.NS,SCALP
2026-06-30,FEDERALBNK.NS,SWING
2026-06-30,EICHERMOT.NS,MOMENTUM
2026-06-30,LAURUSLABS.NS,SWING
2026-06-30,AUROPHARMA.NS,SWING
2026-06-30,KPITTECH.NS,SWING
2026-06-30,HINDPETRO.NS,SWING
2026-06-30,NAZARA.NS,SWING
2026-06-30,MOTILALOFS.NS,MOMENTUM
2026-06-30,TECHM.NS,SWING
2026-06-30,LICI.NS,SWING
2026-06-30,LUPIN.NS,SCALP
2026-06-30,LUPIN.NS,MOMENTUM
2026-06-30,RATNAMANI.NS,SWING
2026-06-30,SIEMENS.NS,MOMENTUM
2026-06-30,BAJFINANCE.NS,SCALP
2026-06-30,POLYCAB.NS,SCALP
2026-06-30,KRSNAA.NS,SWING
2026-06-30,ABCAPITAL.NS,MOMENTUM
2026-06-30,DMART.NS,MOMENTUM
2026-06-30,AXISBANK.NS,MOMENTUM
2026-06-30,PAGEIND.NS,SWING
2026-06-30,ABBOTINDIA.NS,SWING
2026-06-30,INDUSINDBK.NS,SWING
2026-06-30,PVRINOX.NS,SWING
2026-06-30,INFY.NS,MOMENTUM
2026-06-30,TAJGVK.NS,SWING
2026-06-30,ABB.NS,MOMENTUM
2026-06-30,ANGELONE.NS,SWING
2026-06-30,BOSCHLTD.NS,SCALP
2026-06-30,INDIANB.NS,SWING
2026-06-30,COALINDIA.NS,SCALP
2026-06-30,EICHERMOT.NS,SCALP
2026-06-30,IOC.NS,SCALP
2026-06-30,ABCAPITAL.NS,SCALP
2026-06-30,SONACOMS.NS,MOMENTUM
2026-06-30,INDIANB.NS,SCALP
2026-06-30,TIMKEN.NS,SWING
2026-06-30,SIEMENS.NS,SCALP
2026-06-30,MRF.NS,SCALP
2026-06-30,PIDILITIND.NS,SCALP
2026-06-30,AMBUJACEM.NS,SCALP
2026-06-30,GODREJCP.NS,SCALP
2026-06-30,SHREECEM.NS,SWING
2026-06-30,COFORGE.NS,SWING
2026-06-30,DRREDDY.NS,SWING
2026-06-30,ITC.NS,SWING
2026-06-30,TATASTEEL.NS,SWING
2026-06-30,BANDHANBNK.NS,SCALP
2026-06-30,KPITTECH.NS,SCALP
2026-06-30,SURYODAY.NS,SWING
2026-06-30,IRCTC.NS,SWING
2026-06-30,DLF.NS,SCALP
2026-06-30,GODREJPROP.NS,SCALP
2026-06-30,INDUSINDBK.NS,SCALP
2026-06-30,SBILIFE.NS,SWING
2026-06-30,BPCL.NS,SCALP
2026-06-30,LALPATHLAB.NS,SWING
2026-06-30,PRESTIGE.NS,MOMENTUM
2026-06-30,VOLTAS.NS,SWING
2026-06-30,GODREJPROP.NS,MOMENTUM
2026-06-30,AMBUJACEM.NS,SWING
2026-06-30,CESC.NS,SWING
2026-06-30,PFIZER.NS,MOMENTUM
2026-06-30,PIDILITIND.NS,SWING
2026-06-30,COLPAL.NS,SWING
2026-06-30,CANFINHOME.NS,SWING
2026-06-30,CHOLAFIN.NS,SCALP
2026-06-30,DLF.NS,SWING
2026-06-30,MOTILALOFS.NS,SWING
2026-06-30,ZYDUSLIFE.NS,SCALP
2026-06-30,TATAPOWER.NS,SCALP
2026-06-30,HCLTECH.NS,SCALP
2026-06-30,NESCO.NS,SWING
2026-06-30,INDUSINDBK.NS,MOMENTUM
2026-06-30,HDFCBANK.NS,MOMENTUM
2026-06-30,HINDUNILVR.NS,MOMENTUM
2026-06-30,OBEROIRLTY.NS,SWING
2026-06-30,VEDL.NS,SWING
2026-06-30,BANDHANBNK.NS,SWING
2026-06-30,HFCL.NS,SCALP
2026-06-30,OFSS.NS,SCALP
2026-06-30,TECHM.NS,SCALP
2026-06-30,BRITANNIA.NS,SCALP
2026-06-30,COFORGE.NS,SCALP
2026-06-30,HCLTECH.NS,MOMENTUM
2026-06-30,ABB.NS,SCALP
2026-06-30,GRANULES.NS,SWING
2026-06-30,GRASIM.NS,SWING
2026-06-30,ZYDUSLIFE.NS,MOMENTUM
2026-06-30,RECLTD.NS,SWING
2026-06-30,BRIGADE.NS,SCALP
2026-06-30,PETRONET.NS,SCALP
2026-06-30,MANAPPURAM.NS,SCALP
2026-06-30,FEDERALBNK.NS,MOMENTUM
2026-06-30,TIMKEN.NS,MOMENTUM
2026-06-30,ICICIGI.NS,MOMENTUM
2026-06-30,PAGEIND.NS,SCALP
2026-06-30,ADANIGREEN.NS,MOMENTUM
2026-06-30,PETRONET.NS,SWING
2026-06-30,AUBANK.NS,MOMENTUM
2026-06-30,SOBHA.NS,SWING
2026-06-30,NTPC.NS,SWING
2026-06-30,HAVELLS.NS,SWING
2026-06-30,POWERGRID.NS,MOMENTUM
2026-06-30,HOMEFIRST.NS,SCALP
2026-06-30,CEATLTD.NS,SWING
2026-06-30,MGL.NS,MOMENTUM
2026-06-30,APTUS.NS,MOMENTUM
2026-06-30,GLAXO.NS,SCALP
