Date,Ticker,Strategy,Side,EntryPrice,Qty,SL,Target,OrderId,EntryTime,Status
2026-06-30,HOMEFIRST.NS,SCALP,SELL,1148.5,87,1151.95,1142.76,PAPER-1782811586018,2026-06-30 14:56:26 IST,CLOSED
2026-06-30,CEATLTD.NS,SWING,SELL,3465.199951171875,28,3507.34,3377.68,PAPER-1782811586019,2026-06-30 14:56:26 IST,CLOSED
2026-06-30,MGL.NS,MOMENTUM,BUY,1173.5,85,1164.46,1191.1,PAPER-1782811586021,2026-06-30 14:56:26 IST,CLOSED
2026-06-30,APTUS.NS,MOMENTUM,SELL,277.70001220703125,360,279.99,273.53,PAPER-1782812065812,2026-06-30 15:04:25 IST,CLOSED
2026-06-30,GLAXO.NS,SCALP,BUY,2442.699951171875,40,2402.85,2454.91,PAPER-1782812065815,2026-06-30 15:04:25 IST,CLOSED
2026-06-30,ADANIPORTS.NS,SCALP,BUY,1809.800048828125,55,1793.67,1818.85,PAPER-1782812065817,2026-06-30 15:04:25 IST,CLOSED
